timestamp,src_ip,dst_ip,protocol,src_port,dst_port,size,flags
2024-01-15 10:00:01,192.168.1.5,8.8.8.8,DNS,52341,53,64,
2024-01-15 10:00:02,192.168.1.5,142.250.1.1,TCP,54231,443,1460,SYN
2024-01-15 10:00:02,142.250.1.1,192.168.1.5,TCP,443,54231,1460,SYN-ACK
2024-01-15 10:00:03,192.168.1.5,142.250.1.1,TCP,54231,443,520,ACK
2024-01-15 10:00:04,192.168.1.10,192.168.1.1,ARP,0,0,42,
2024-01-15 10:00:05,192.168.1.5,93.184.216.34,HTTP,55001,80,256,
2024-01-15 10:00:06,192.168.1.12,8.8.8.8,DNS,41234,53,64,
2024-01-15 10:00:07,192.168.1.5,142.250.1.1,TCP,54231,443,1460,
2024-01-15 10:00:08,10.0.0.5,192.168.1.5,ICMP,0,0,84,
2024-01-15 10:00:09,192.168.1.5,216.58.214.46,TCP,56001,443,1460,SYN
2024-01-15 10:00:10,192.168.1.10,192.168.1.5,UDP,12345,5353,128,
2024-01-15 10:00:11,192.168.1.5,8.8.8.8,DNS,52342,53,64,
2024-01-15 10:00:12,192.168.1.5,142.250.1.1,TCP,54232,443,1460,SYN
2024-01-15 10:00:13,192.168.1.20,8.8.4.4,DNS,43210,53,64,
2024-01-15 10:00:14,192.168.1.5,93.184.216.34,HTTP,55002,80,512,
2024-01-15 10:00:15,192.168.1.5,142.250.1.1,TCP,54233,443,200,FIN
